soggetto;data_ora_scatto;perimetro_px;perimetro_mm;area_pixel;area_mm;lato_pixel
E_R4;2021-09-08 21-16-44;24771;2205.67;391329;620.535;56.153
E_R4;2021-09-10 09-53-23;33171;2851.359;476658;704.407;58.167
E_R5;2021-09-02 22-37-43;469;41.376;8539;13.292;56.675
E_R5;2021-09-03 19-36-03;560;48.97;10159;15.537;57.178
E_R5;2021-09-05 22-39-58;5177;452.677;85020;130.009;57.182
E_R5;2021-09-07 03-01-06;17807;1569.286;298546;463.729;56.736
E_R5;2021-09-07 21-02-57;17133;1517.484;283616;444.982;56.452
E_R5;2021-09-08 21-42-42;24456;0;395910;0;0
E_R6;2021-09-03 19-40-31;610;53.342;8662;13.247;57.178
E_R6;2021-09-05 22-45-39;2757;240.622;53407;81.363;57.289
E_R6;2021-09-07 03-11-37;6459;560.375;122656;184.649;57.631
E_R6;2021-09-07 21-17-29;10464;915.117;183401;280.537;57.173
E_R6;2021-09-08 21-48-45;17857;1577.083;319496;498.411;56.614
E_R6;2021-09-10 10-35-23;28652;2504.896;464696;710.343;57.192
F_R1;2021-09-01 23-26-29;77;6.911;1108;1.785;55.706
F_R1;2021-09-02 23-38-03;528;45.584;8308;12.385;57.915
F_R1;2021-09-03 20-00-24;1315;116.487;20137;31.603;56.444
F_R1;2021-09-05 23-43-43;10539;925.627;140523;216.796;56.929
F_R1;2021-09-07 03-39-30;21679;1925.756;277084;437.286;56.287
F_R1;2021-09-07 23-47-39;29896;2648.101;381060;597.952;56.448
F_R1;2021-09-08 22-32-05;17082;1521.538;207780;329.702;56.134
F_R1;2021-09-10 11-41-30;18883;0;222473;0;0
F_R2;2021-09-01 22-51-46;123;10.914;1859;2.927;56.349
F_R2;2021-09-03 04-48-01;730;63.695;12824;19.526;57.304
F_R2;2021-09-03 20-19-08;1520;132.951;24294;37.173;57.164
F_R2;2021-09-06 00-48-19;10328;900.248;137613;209.113;57.362
F_R2;2021-09-07 04-00-33;24472;2164.668;337391;527.967;56.526
F_R2;2021-09-07 23-26-03;29012;2552.39;399501;618.425;56.833
F_R2;2021-09-08 22-52-04;37245;3302.389;495557;779.191;56.391
F_R2;2021-09-10 11-21-22;47840;4083.584;618767;901.691;58.576
F_R3;2021-09-03 05-00-13;1851;161.403;34950;53.148;57.341
F_R3;2021-09-03 20-25-50;1717;150.969;32009;49.492;56.866
F_R3;2021-09-06 01-12-09;10844;949.446;150653;230.977;57.107
F_R3;2021-09-07 04-07-58;19776;1744.623;265101;412.637;56.677
F_R3;2021-09-07 23-11-12;23433;2054.229;297725;457.601;57.036
F_R3;2021-09-08 23-00-52;26850;2388.28;347839;550.415;56.212
F_R3;2021-09-10 11-10-16;35281;3022.963;430939;632.746;58.355
F_R4;2021-09-02 00-26-19;811;72.773;12131;19.536;55.721
F_R4;2021-09-02 22-02-02;1320;115.573;21111;32.367;57.107
F_R4;2021-09-03 19-23-28;2453;215.565;39629;61.207;56.897
F_R4;2021-09-05 22-13-21;14326;1249.564;191618;291.564;57.324
F_R4;2021-09-07 02-39-02;32016;2878.308;429605;694.448;55.616
F_R4;2021-09-07 20-38-00;29169;2573.811;374392;582.998;56.665
F_R4;2021-09-08 21-23-47;29014;2605.939;353746;570.735;55.669
F_R4;2021-09-10 09-54-53;30601;2600.489;373045;538.803;58.837
F_R5;2021-09-02 00-21-14;139;0;2102;0;0
F_R5;2021-09-02 22-31-14;620;54.866;10474;16.405;56.501
F_R5;2021-09-03 19-33-08;1418;124.41;21371;32.901;56.989
F_R5;2021-09-05 22-34-04;9239;808.878;120596;184.875;57.11
F_R5;2021-09-07 02-53-05;24345;2153.586;335582;525.211;56.522
F_R5;2021-09-07 20-53-14;29807;2619.428;404207;624.324;56.896
F_R5;2021-09-08 21-36-51;26165;2321.815;347038;546.539;56.346
F_R5;2021-09-10 10-25-13;24927;2123.688;308063;447.209;58.688
F_R6;2021-09-02 00-04-07;106;9.452;1814;2.885;56.072
F_R6;2021-09-02 23-11-54;536;47.0;8018;12.33;57.021
F_R6;2021-09-03 19-46-09;898;79.084;11916;18.484;56.775
